ID,,
1,Allergy,"nasal congestion,
itchy and watery eyes,
sneezing,
stuffy or runny nose,
scratchy or sore throat,
throat clearing,
cough from postnasal drip."
2,anemia,"Feel tired or lightheaded (sometimes with fainting)
Weakness
Fatigue easily
Have decreased energy
Appear pale
Develop palpitations or rapid heart rate
Experience shortness of breath"
3,cold/flu,"Headaches, body aches, fever, and flu-like symptoms
Nasal congestion, runny nose, and sneezing
Cough
Sore throat"
4,asthama,"shortness of breath, chest pain,cough"
5,alzheimers,"loss of orientation (to person, place, or time),
agitation,
irritability,
quarrelsomeness, and
a diminishing ability to care for him- or herself and to dress appropriately."
6,pregnancy, absence of menstrual periods  breast swelling and tenderness. Food cravings
7,hyperthyroid,"a rapid heart rate, excessive sweating, intolerance to heat, tremor, nervousness, or agitation. Other symptoms can include fatigue, weight loss, hair loss, increased appetite, problems with concentration, frequent bowel movements, and irregular or decreased menstrual blood flow in women"
8,hypothyroid," fatigue, depression, mild weight gain, cold intolerance, sleepiness, constipation dry and coarse hair, dry skin, and muscle cramps. Blood cholesterol levels may be elevated."
9,diabetes,"dehydration,
hunger,
increased urination, and
increased thirst."
10,HIV AIDS,"fever, swollen lymph nodes, joint and muscle aches, and sore throat. chills, night sweats, and mouth ulcers. "
11,high blood pressure," dizziness, shortness of breath, headache, and blurred vision  nosebleeds, blood in the urine, fatigue, chest pain, "
12,Rheumatoid Arthritis," aches stiffness, muscle aches, low-grade fever, fatigue, lack of appetite, loss of energy . Joints can become warm, swollen, reddened, painful, "
13,hepatitis B,"fatigue,
loss of appetite,
nausea,
jaundice (yellowing of the skin and eyes), and
pain in the upper right abdomen (due to the inflamed liver)."
14,Dengue," headache, fever, exhaustion, severe muscle joint pain, swollen lymph nodes rash, fever, itchy rash,headache  "
15,Malaria,"fever and chills,
headaches,
nausea and vomiting, and
general weakness and body aches"
16,Chicken Pox,"general weakness, fever up to 102 F, and red spots that start on the same day or so as the fever"
17,jaundice,"Yellow discoloration of the skin, mucous membranes and the whites of the eyes
Light-colored skin
Poor feeding
Lethargy/excessive sleepiness
Changes in muscle tone (either listless or stiff with arching of the back)
High-pitched crying
Seizures"
18,Diarrhea, bowel movements are frequent watery. no signs of inflammation.  cramping abdominal pain
19,cataract,"decrease in clarity of vision, not fully correctable with glasses. loss of contrast sensitivity. Disturbing glare in light"
